[02/20 13:23:16] cifar10-resnet56 INFO: Epoch 155/200, Acc=0.9191, Val Loss=0.2919, lr=0.0100
[02/20 13:23:51] cifar10-resnet56 INFO: Epoch 156/200, Acc=0.9129, Val Loss=0.2968, lr=0.0100
[02/20 13:24:26] cifar10-resnet56 INFO: Epoch 157/200, Acc=0.9099, Val Loss=0.3173, lr=0.0100
[02/20 13:25:01] cifar10-resnet56 INFO: Epoch 158/200, Acc=0.9118, Val Loss=0.3070, lr=0.0100
[02/20 13:25:36] cifar10-resnet56 INFO: Epoch 159/200, Acc=0.9166, Val Loss=0.2907, lr=0.0100
[02/20 13:26:11] cifar10-resnet56 INFO: Epoch 160/200, Acc=0.9319, Val Loss=0.2469, lr=0.0010
[02/20 13:26:46] cifar10-resnet56 INFO: Epoch 161/200, Acc=0.9315, Val Loss=0.2458, lr=0.0010
[02/20 13:27:20] cifar10-resnet56 INFO: Epoch 162/200, Acc=0.9338, Val Loss=0.2466, lr=0.0010
[02/20 13:27:55] cifar10-resnet56 INFO: Epoch 163/200, Acc=0.9357, Val Loss=0.2401, lr=0.0010
[02/20 13:28:30] cifar10-resnet56 INFO: Epoch 164/200, Acc=0.9363, Val Loss=0.2431, lr=0.0010
[02/20 13:29:04] cifar10-resnet56 INFO: Epoch 165/200, Acc=0.9367, Val Loss=0.2462, lr=0.0010
[02/20 13:29:39] cifar10-resnet56 INFO: Epoch 166/200, Acc=0.9366, Val Loss=0.2450, lr=0.0010
[02/20 13:30:14] cifar10-resnet56 INFO: Epoch 167/200, Acc=0.9360, Val Loss=0.2487, lr=0.0010
[02/20 13:30:49] cifar10-resnet56 INFO: Epoch 168/200, Acc=0.9376, Val Loss=0.2490, lr=0.0010
[02/20 13:31:24] cifar10-resnet56 INFO: Epoch 169/200, Acc=0.9363, Val Loss=0.2496, lr=0.0010
[02/20 13:31:59] cifar10-resnet56 INFO: Epoch 170/200, Acc=0.9361, Val Loss=0.2491, lr=0.0010
[02/20 13:32:34] cifar10-resnet56 INFO: Epoch 171/200, Acc=0.9374, Val Loss=0.2529, lr=0.0010
[02/20 13:33:10] cifar10-resnet56 INFO: Epoch 172/200, Acc=0.9388, Val Loss=0.2525, lr=0.0010
[02/20 13:33:45] cifar10-resnet56 INFO: Epoch 173/200, Acc=0.9378, Val Loss=0.2521, lr=0.0010
[02/20 13:34:20] cifar10-resnet56 INFO: Epoch 174/200, Acc=0.9368, Val Loss=0.2550, lr=0.0010
[02/20 13:34:54] cifar10-resnet56 INFO: Epoch 175/200, Acc=0.9352, Val Loss=0.2578, lr=0.0010
[02/20 13:35:30] cifar10-resnet56 INFO: Epoch 176/200, Acc=0.9372, Val Loss=0.2575, lr=0.0010
[02/20 13:36:05] cifar10-resnet56 INFO: Epoch 177/200, Acc=0.9372, Val Loss=0.2563, lr=0.0010
[02/20 13:36:39] cifar10-resnet56 INFO: Epoch 178/200, Acc=0.9381, Val Loss=0.2548, lr=0.0010
[02/20 13:37:14] cifar10-resnet56 INFO: Epoch 179/200, Acc=0.9392, Val Loss=0.2587, lr=0.0010
[02/20 13:37:49] cifar10-resnet56 INFO: Epoch 180/200, Acc=0.9389, Val Loss=0.2586, lr=0.0001
[02/20 13:38:24] cifar10-resnet56 INFO: Epoch 181/200, Acc=0.9386, Val Loss=0.2566, lr=0.0001
[02/20 13:38:59] cifar10-resnet56 INFO: Epoch 182/200, Acc=0.9386, Val Loss=0.2587, lr=0.0001
[02/20 13:39:34] cifar10-resnet56 INFO: Epoch 183/200, Acc=0.9382, Val Loss=0.2552, lr=0.0001
[02/20 13:40:12] cifar10-resnet56 INFO: Epoch 184/200, Acc=0.9392, Val Loss=0.2554, lr=0.0001
[02/20 13:40:47] cifar10-resnet56 INFO: Epoch 185/200, Acc=0.9385, Val Loss=0.2552, lr=0.0001
[02/20 13:41:21] cifar10-resnet56 INFO: Epoch 186/200, Acc=0.9389, Val Loss=0.2547, lr=0.0001
[02/20 13:41:56] cifar10-resnet56 INFO: Epoch 187/200, Acc=0.9387, Val Loss=0.2567, lr=0.0001
[02/20 13:42:31] cifar10-resnet56 INFO: Epoch 188/200, Acc=0.9390, Val Loss=0.2543, lr=0.0001
[02/20 13:43:06] cifar10-resnet56 INFO: Epoch 189/200, Acc=0.9380, Val Loss=0.2584, lr=0.0001
[02/20 13:43:41] cifar10-resnet56 INFO: Epoch 190/200, Acc=0.9387, Val Loss=0.2575, lr=0.0001
[02/20 13:44:16] cifar10-resnet56 INFO: Epoch 191/200, Acc=0.9387, Val Loss=0.2557, lr=0.0001
